@relation 'testData (Autosaved)'

@attribute Date date "MM/dd/yyyy"
@attribute OPEN numeric
@attribute VOLUME numeric
@attribute AverageChangeLast-5 numeric
@attribute AverageChangeLast-10 numeric
@attribute AverageChangeLast-30 numeric
@attribute 'Crude Oil Imports(US)' numeric
@attribute DayToDay(Classifier) numeric

@data
2/19/2010,65.59,24264600,0.918,-1.116,-2.579,11829,1
2/22/2010,66.1,20469700,1.114,0.569,-3.167333,11829,0
2/23/2010,65.26,33372900,0.414,0.461,-3.104,11829,0
2/24/2010,65.01,21469600,-0.754,0.32,-3.506667,11829,1
2/25/2010,64.61,25668800,-0.256,0.385,-3.445,11829,1
2/26/2010,65.26,20129700,-0.21,0.804,-3.845333,11952,1
3/1/2010,65.36,18798600,-0.894,0.85,-3.581,11952,1
3/2/2010,65.66,24823900,-0.054,0.09,-3.833667,11952,1
3/3/2010,65.77,22279800,0.306,-0.889,-3.044333,11952,0
3/4/2010,65.43,21961100,0.682,-0.382,-2.992333,11952,0
3/5/2010,65.96,26837900,0.084,-0.228,-2.64,11064,1
3/8/2010,66.77,20297200,0.278,-0.678,-1.047667,11064,1
3/9/2010,66.32,29003100,0.194,0.27,-1.065,11064,1
3/10/2010,67.16,24810300,0.342,0.704,-0.124,11064,1
3/11/2010,67.39,19357400,1.04,1.271,-0.100667,11064,1
3/12/2010,67.58,23361800,0.874,0.829,-0.234667,10591,0
3/15/2010,66.67,22070000,0.13,0.909,0.526667,10591,0
3/16/2010,66.55,35103700,0.544,0.699,-0.031,10591,0
3/17/2010,66.91,38770000,-0.338,0.697,-0.978,10591,1
3/18/2010,67.5,25925500,-0.54,1.23,-1.114667,10591,1
3/19/2010,67.84,45564200,-0.696,0.899,-0.478333,11463,0
3/22/2010,66.49,21390600,0.262,0.146,1.169,11463,0
3/23/2010,66.94,24754700,0.516,0.645,1.045333,11463,1
3/24/2010,66.57,19748800,0.232,-0.178,0.932,11463,0
3/25/2010,66.81,21095600,-0.53,-0.48,1.005333,11463,0
3/26/2010,66.44,30553400,-1.088,-0.762,1.443667,11630,0
3/29/2010,66.66,26122200,0.162,0.122,1.557,11630,1
3/30/2010,67.19,17745900,-0.222,0.342,0.820333,11630,1
3/31/2010,66.94,22352500,0.168,0.03,-0.054,11630,0
4/1/2010,67.27,19614700,0.024,-0.598,0.526667,11630,1
4/5/2010,67.84,20901100,0.656,-0.916,0.791667,11630,1
4/6/2010,67.99,19776800,0.766,0.549,0.359,11630,1
4/7/2010,67.83,24531500,0.356,0.192,1.282333,11630,0
4/8/2010,67.01,24060800,0.664,0.601,1.612333,11630,1
4/9/2010,68.11,21099600,0.51,0.497,2.089333,11057,1
4/12/2010,68.8,18170300,0.17,1.113,1.56,11057,1
4/13/2010,68.47,19177100,0.124,1.11,1.583667,11057,0
4/14/2010,68.72,18777800,0.436,0.716,1.392333,11057,1
4/15/2010,68.5,16712900,1.51,1.122,1.386333,11057,0
4/16/2010,68.12,33855100,0.49,0.92,1.820667,12492,0
4/19/2010,67.75,25686000,-0.366,0.382,1.375,12492,1
4/20/2010,68.62,22989500,-0.132,0.236,0.623667,12492,1
4/21/2010,69,21119200,-0.32,0.503,1.156667,12492,1
4/22/2010,68.52,21654700,-0.038,1.481,0.388,12492,0
4/23/2010,68.5,24340000,0.402,0.451,0.202667,12504,1
4/26/2010,69.03,18237100,1.034,-0.191,0.08,12504,1
4/27/2010,69.01,36374700,0.376,0.197,1.073,12504,0
4/28/2010,68.87,33243500,-0.144,-0.092,1.258667,12504,1
4/29/2010,68.45,47200900,0.39,0.186,0.986,12504,0
4/30/2010,68.9,43762100,0.43,0.606,0.439333,13054,0
5/3/2010,68.11,30734900,-0.394,0.96,0.112,13054,0
5/4/2010,67.15,31646100,-0.664,0.051,1.488667,13054,0
5/5/2010,65.94,30260300,-0.884,-0.579,1.022,13054,0
5/6/2010,65.79,58336300,-1.068,-0.374,1.366,13054,0
5/7/2010,64.5,69004800,-2.472,-0.821,1.039,11845,0
5/10/2010,65.42,38337600,-2.496,-1.905,1.322333,11845,1
5/11/2010,64.62,29790600,-2.146,-2.335,1.044,11845,0
5/12/2010,64.64,25390700,-1.338,-2.576,0.419333,11845,1
5/13/2010,64.87,26791600,-1.44,-2.584,0.598,11845,1
5/14/2010,64.5,38815400,0.02,-3.426,0.193333,12093,0
5/17/2010,63.74,31923700,-0.92,-3.053,-0.510333,12093,0
5/18/2010,64.05,34457000,-0.424,-2.55,-0.824333,12093,0
5/19/2010,62.46,36722500,-0.778,-1.708,-0.834667,12093,0
5/20/2010,61.47,57194500,-1.5,-1.93,-0.177667,12093,0
5/21/2010,59.16,52802900,-2.012,-0.996,-1.528667,12750,0
5/24/2010,60.74,27847800,-1.796,-2.198,-2.481333,12750,1
5/25/2010,58.99,50533800,-2.722,-1.858,-2.435333,12750,0
5/26/2010,60.08,34028900,-1.748,-2.353,-2.983667,12750,1
5/27/2010,60.5,31911500,-1.386,-3.143,-3.073667,12750,1
5/28/2010,61.21,32078700,1.15,-3.101,-2.920333,12029,0
6/1/2010,60.38,32972000,-0.514,-2.655,-2.799333,12029,0
6/2/2010,59.51,28668400,1.048,-3.367,-3.968667,12029,1
6/3/2010,61.23,32383700,0.17,-1.979,-4.622,12029,1
6/4/2010,60.74,45019200,0.2,-1.078,-4.387333,11550,0
6/7/2010,59.98,28389500,-0.897,1.1515,-4.6685,11550,0
6/8/2010,59.62,48460700,-0.299,-0.5865,-5.529833,11550,1
6/9/2010,61.58,31693200,0.969,1.2685,-5.778167,11550,1
6/10/2010,61.5,33020100,-0.899,0.2105,-5.912833,11550,1
6/11/2010,61.68,21227100,-0.343,0.0485,-5.736167,11806,1
6/14/2010,62.06,24667800,0.884,-0.6215,-6.412833,11806,0
6/15/2010,61.89,24532600,1.658,0.2995,-5.836167,11806,1
6/16/2010,61.97,20652700,-0.048,1.4955,-5.053833,11806,1
6/17/2010,62.42,23310200,0.528,-0.0505,-3.975833,11806,1
6/18/2010,62.78,32747000,0.49,0.5435,-3.944833,12436,1
6/21/2010,64.1,24877600,0.358,1.661,-2.681167,12436,1
6/22/2010,63.13,26147000,0.88,2.404,-3.620167,12436,0
6/23/2010,61.71,38058900,0.686,0.514,-2.915167,12436,0
