Date,OPEN,VOLUME,TodaysOpenGreaterThanNextWeekAverage(Classifier),AverageChangeLast-5,AverageChangeLast-10,AverageChangeLast-30
4/11/2017,83.08,8522117.00,0.00,0.66,1.22,0.59
4/10/2017,83.12,8555618.00,0.00,0.53,1.54,0.94
4/7/2017,83.24,8890085.00,0.00,-0.86,0.17,0.41
4/6/2017,82.75,9513299.00,0.00,0.51,0.46,0.55
4/5/2017,82.85,13623292.00,0.00,0.74,0.05,0.27
4/4/2017,82.10,9214672.00,1.00,1.01,-0.20,-0.22
4/3/2017,82.02,11431761.00,1.00,1.34,0.23,-0.20
3/31/2017,83.26,21705830.00,0.00,-0.02,-0.08,-1.22
3/30/2017,82.03,44656397.00,1.00,0.01,-0.24,-0.76
3/29/2017,81.69,8350755.00,1.00,-0.37,0.43,-1.00
3/28/2017,81.32,10710823.00,1.00,-0.57,0.70,-0.82
3/27/2017,80.82,8445016.00,1.00,0.02,0.22,-0.27
3/24/2017,82.03,8965103.00,1.00,-0.14,-0.69,0.21
3/23/2017,81.63,8722147.00,1.00,-0.10,1.09,0.01
3/22/2017,81.96,11127314.00,1.00,0.63,-0.69,-1.20
3/21/2017,82.16,13387665.00,0.00,0.81,-1.38,-1.47
3/20/2017,81.72,7700258.00,0.00,0.20,-0.63,-1.57
3/17/2017,82.03,18834129.00,0.00,-0.82,-1.70,-1.03
3/16/2017,82.03,9923804.00,0.00,0.90,-0.82,-1.79
3/15/2017,81.35,11970300.00,1.00,-1.01,0.39,-2.77
3/14/2017,81.00,11335678.00,1.00,-1.46,0.59,-3.02
3/13/2017,81.50,9571361.00,1.00,-0.51,1.00,-2.76
3/10/2017,82.44,11354999.00,0.00,-1.46,0.48,-3.02
3/9/2017,80.64,14721795.00,1.00,-0.37,0.67,-2.55
3/8/2017,82.35,16817743.00,0.00,1.13,0.43,-2.05
3/7/2017,83.11,12710956.00,0.00,1.06,-0.11,-2.67
3/6/2017,82.44,9617240.00,0.00,1.20,-0.18,-2.33
3/3/2017,83.56,12304096.00,0.00,0.45,-1.23,-2.78
3/2/2017,82.80,14168481.00,0.00,0.33,-0.76,-3.77
3/1/2017,81.70,17482122.00,1.00,-0.32,-1.05,-3.15
2/28/2017,81.53,16834063.00,1.00,-0.68,-0.74,-2.67
2/27/2017,81.13,13465448.00,1.00,-0.60,-0.14,-3.51
2/24/2017,81.60,11336722.00,1.00,-1.39,0.40,-1.95
2/23/2017,81.42,13847038.00,1.00,-0.63,0.18,-3.08
2/22/2017,81.65,12917374.00,1.00,-0.52,-0.88,-3.93
2/21/2017,82.12,16417662.00,0.00,-0.16,-1.05,-4.28
2/17/2017,82.09,15643848.00,0.00,0.50,-1.03,-5.45
2/16/2017,83.12,10614956.00,0.00,0.87,-0.42,-6.13
2/15/2017,82.64,11768513.00,0.00,0.34,-1.23,-5.69
2/14/2017,82.91,11370235.00,0.00,-0.91,-2.17,-4.53
2/13/2017,82.77,9071638.00,0.00,-1.17,-2.36,-4.36
2/10/2017,82.26,8739814.00,1.00,-1.11,-1.94,-4.68
2/9/2017,81.80,9602988.00,1.00,-0.30,-1.96,-4.53
2/8/2017,81.99,14005318.00,1.00,-0.80,-1.22,-4.28
2/7/2017,83.23,11699412.00,0.00,-1.61,-0.63,-3.14
2/6/2017,83.55,9935630.00,0.00,-1.68,-1.16,-3.57
2/3/2017,83.70,12743536.00,0.00,-1.17,-0.69,-3.17
2/2/2017,83.21,12200100.00,0.00,-1.13,-1.09,-3.81
2/1/2017,84.00,15110442.00,0.00,-0.30,-1.84,-3.67
1/31/2017,85.04,19127490.00,0.00,0.30,-1.02,-2.02
1/30/2017,85.42,12788543.00,0.00,-0.38,-0.56,-3.99
1/27/2017,85.30,10945102.00,0.00,-0.06,-1.47,-3.38
1/26/2017,85.69,8776714.00,0.00,-0.77,0.02,-1.46
1/25/2017,85.34,9578522.00,0.00,-1.67,-1.19,0.17
1/24/2017,84.98,11858111.00,0.00,-0.73,-2.05,0.86
1/23/2017,85.68,11433633.00,0.00,-0.15,-2.27,1.39
1/20/2017,85.44,18738859.00,0.00,-1.06,-3.40,1.80
1/19/2017,85.97,16382903.00,0.00,0.73,-3.82,1.78
1/18/2017,87.06,11827304.00,0.00,-0.61,-3.17,2.00
1/17/2017,86.58,13237348.00,0.00,-1.73,-1.97,1.21
1/13/2017,86.27,8414747.00,0.00,-1.87,-1.64,1.62
1/12/2017,87.27,10406846.00,0.00,-2.82,-1.83,3.78
1/11/2017,85.90,11183689.00,1.00,-3.14,-1.58,2.24
1/10/2017,87.17,13283083.00,0.00,-1.97,-1.17,2.52
1/9/2017,88.22,13759032.00,0.00,-0.41,0.09,2.69
1/6/2017,88.79,16518128.00,0.00,-0.11,-0.40,2.48
